pathway	Nannochloropsis_gaditana_completion_rate	Saccharina_latissima_FEMALE_completion_rate	Scytosiphon_promiscuus_MALE_completion_rate	Phaeodactylum_tricornutum_completion_rate	Ectocarpus_siliculosus_m_completion_rate	Ectocarpus_crouaniorum_m_completion_rate	Ectocarpus_fasciculatus_m_completion_rate	Laminarionema_elsbetiae_completion_rate	Schizocladia_ischiensis_completion_rate	Fucus_serratus_MALE_completion_rate	Fistulifera_solaris_completion_rate	Porterinema_fluviatile_completion_rate	Pleurocladia_lacustris_completion_rate	Chordaria_linearis_completion_rate	Desmarestia_herbacea_m_completion_rate	Thalassiosira_pseudonana_completion_rate	Dictyota_dichotoma_m_completion_rate	Fragilariopsis_cylindrus_completion_rate	Nannochloropsis_gaditana_rxn_assoc (sep=;)	Saccharina_latissima_FEMALE_rxn_assoc (sep=;)	Scytosiphon_promiscuus_MALE_rxn_assoc (sep=;)	Phaeodactylum_tricornutum_rxn_assoc (sep=;)	Ectocarpus_siliculosus_m_rxn_assoc (sep=;)	Ectocarpus_crouaniorum_m_rxn_assoc (sep=;)	Ectocarpus_fasciculatus_m_rxn_assoc (sep=;)	Laminarionema_elsbetiae_rxn_assoc (sep=;)	Schizocladia_ischiensis_rxn_assoc (sep=;)	Fucus_serratus_MALE_rxn_assoc (sep=;)	Fistulifera_solaris_rxn_assoc (sep=;)	Porterinema_fluviatile_rxn_assoc (sep=;)	Pleurocladia_lacustris_rxn_assoc (sep=;)	Chordaria_linearis_rxn_assoc (sep=;)	Desmarestia_herbacea_m_rxn_assoc (sep=;)	Thalassiosira_pseudonana_rxn_assoc (sep=;)	Dictyota_dichotoma_m_rxn_assoc (sep=;)	Fragilariopsis_cylindrus_rxn_assoc (sep=;)
PWY-6901	10/10	10/10	10/10	10/10	10/10	10/10	10/10	10/10	10/10	10/10	9/10	10/10	10/10	10/10	10/10	9/10	10/10	10/10	2TRANSKETO-RXN;2PGADEHYDRAT-RXN;PHOSGLYPHOS-RXN;GAPOXNPHOSPHN-RXN;XYLCAT-PWY;PEPDEPHOS-RXN;PENTOSE-P-PWY;3PGAREARR-RXN;L-LACTATE-DEHYDROGENASE-RXN;DLACTDEHYDROGNAD-RXN	2TRANSKETO-RXN;2PGADEHYDRAT-RXN;PHOSGLYPHOS-RXN;GAPOXNPHOSPHN-RXN;XYLCAT-PWY;PEPDEPHOS-RXN;PENTOSE-P-PWY;3PGAREARR-RXN;L-LACTATE-DEHYDROGENASE-RXN;DLACTDEHYDROGNAD-RXN	2TRANSKETO-RXN;2PGADEHYDRAT-RXN;PHOSGLYPHOS-RXN;GAPOXNPHOSPHN-RXN;XYLCAT-PWY;PEPDEPHOS-RXN;PENTOSE-P-PWY;3PGAREARR-RXN;L-LACTATE-DEHYDROGENASE-RXN;DLACTDEHYDROGNAD-RXN	2TRANSKETO-RXN;2PGADEHYDRAT-RXN;PHOSGLYPHOS-RXN;GAPOXNPHOSPHN-RXN;XYLCAT-PWY;PEPDEPHOS-RXN;PENTOSE-P-PWY;3PGAREARR-RXN;L-LACTATE-DEHYDROGENASE-RXN;DLACTDEHYDROGNAD-RXN	2TRANSKETO-RXN;2PGADEHYDRAT-RXN;PHOSGLYPHOS-RXN;GAPOXNPHOSPHN-RXN;XYLCAT-PWY;PEPDEPHOS-RXN;PENTOSE-P-PWY;3PGAREARR-RXN;L-LACTATE-DEHYDROGENASE-RXN;DLACTDEHYDROGNAD-RXN	2TRANSKETO-RXN;2PGADEHYDRAT-RXN;PHOSGLYPHOS-RXN;GAPOXNPHOSPHN-RXN;XYLCAT-PWY;PEPDEPHOS-RXN;PENTOSE-P-PWY;3PGAREARR-RXN;L-LACTATE-DEHYDROGENASE-RXN;DLACTDEHYDROGNAD-RXN	2TRANSKETO-RXN;2PGADEHYDRAT-RXN;PHOSGLYPHOS-RXN;GAPOXNPHOSPHN-RXN;XYLCAT-PWY;PEPDEPHOS-RXN;PENTOSE-P-PWY;3PGAREARR-RXN;L-LACTATE-DEHYDROGENASE-RXN;DLACTDEHYDROGNAD-RXN	2TRANSKETO-RXN;2PGADEHYDRAT-RXN;PHOSGLYPHOS-RXN;GAPOXNPHOSPHN-RXN;XYLCAT-PWY;PEPDEPHOS-RXN;PENTOSE-P-PWY;3PGAREARR-RXN;L-LACTATE-DEHYDROGENASE-RXN;DLACTDEHYDROGNAD-RXN	2TRANSKETO-RXN;2PGADEHYDRAT-RXN;PHOSGLYPHOS-RXN;GAPOXNPHOSPHN-RXN;XYLCAT-PWY;PEPDEPHOS-RXN;PENTOSE-P-PWY;3PGAREARR-RXN;L-LACTATE-DEHYDROGENASE-RXN;DLACTDEHYDROGNAD-RXN	2TRANSKETO-RXN;2PGADEHYDRAT-RXN;PHOSGLYPHOS-RXN;GAPOXNPHOSPHN-RXN;XYLCAT-PWY;PEPDEPHOS-RXN;PENTOSE-P-PWY;3PGAREARR-RXN;L-LACTATE-DEHYDROGENASE-RXN;DLACTDEHYDROGNAD-RXN	2TRANSKETO-RXN;2PGADEHYDRAT-RXN;PHOSGLYPHOS-RXN;GAPOXNPHOSPHN-RXN;XYLCAT-PWY;PEPDEPHOS-RXN;PENTOSE-P-PWY;3PGAREARR-RXN;DLACTDEHYDROGNAD-RXN	2TRANSKETO-RXN;2PGADEHYDRAT-RXN;PHOSGLYPHOS-RXN;GAPOXNPHOSPHN-RXN;XYLCAT-PWY;PEPDEPHOS-RXN;PENTOSE-P-PWY;3PGAREARR-RXN;L-LACTATE-DEHYDROGENASE-RXN;DLACTDEHYDROGNAD-RXN	2TRANSKETO-RXN;2PGADEHYDRAT-RXN;PHOSGLYPHOS-RXN;GAPOXNPHOSPHN-RXN;XYLCAT-PWY;PEPDEPHOS-RXN;PENTOSE-P-PWY;3PGAREARR-RXN;L-LACTATE-DEHYDROGENASE-RXN;DLACTDEHYDROGNAD-RXN	2TRANSKETO-RXN;2PGADEHYDRAT-RXN;PHOSGLYPHOS-RXN;GAPOXNPHOSPHN-RXN;XYLCAT-PWY;PEPDEPHOS-RXN;PENTOSE-P-PWY;3PGAREARR-RXN;L-LACTATE-DEHYDROGENASE-RXN;DLACTDEHYDROGNAD-RXN	2TRANSKETO-RXN;2PGADEHYDRAT-RXN;PHOSGLYPHOS-RXN;GAPOXNPHOSPHN-RXN;XYLCAT-PWY;PEPDEPHOS-RXN;PENTOSE-P-PWY;3PGAREARR-RXN;L-LACTATE-DEHYDROGENASE-RXN;DLACTDEHYDROGNAD-RXN	2TRANSKETO-RXN;2PGADEHYDRAT-RXN;PHOSGLYPHOS-RXN;GAPOXNPHOSPHN-RXN;PEPDEPHOS-RXN;PENTOSE-P-PWY;3PGAREARR-RXN;L-LACTATE-DEHYDROGENASE-RXN;DLACTDEHYDROGNAD-RXN	2TRANSKETO-RXN;2PGADEHYDRAT-RXN;PHOSGLYPHOS-RXN;GAPOXNPHOSPHN-RXN;XYLCAT-PWY;PEPDEPHOS-RXN;PENTOSE-P-PWY;3PGAREARR-RXN;L-LACTATE-DEHYDROGENASE-RXN;DLACTDEHYDROGNAD-RXN	2TRANSKETO-RXN;2PGADEHYDRAT-RXN;PHOSGLYPHOS-RXN;GAPOXNPHOSPHN-RXN;XYLCAT-PWY;PEPDEPHOS-RXN;PENTOSE-P-PWY;3PGAREARR-RXN;L-LACTATE-DEHYDROGENASE-RXN;DLACTDEHYDROGNAD-RXN
PWY-7072	1/14	3/14	3/14		3/14	3/14	3/14	3/14	1/14	1/14	1/14	3/14	3/14	3/14	3/14	1/14	3/14	1/14	RXN-12263	RXN-12263;5.4.99.17-RXN;RXN-4961	RXN-12263;5.4.99.17-RXN;RXN-4961		RXN-12263;5.4.99.17-RXN;RXN-4961	RXN-12263;5.4.99.17-RXN;RXN-4961	RXN-12263;5.4.99.17-RXN;RXN-4961	RXN-12263;5.4.99.17-RXN;RXN-4961	RXN-12263	RXN-12263	RXN-12263	RXN-12263;5.4.99.17-RXN;RXN-4961	RXN-12263;5.4.99.17-RXN;RXN-4961	RXN-12263;5.4.99.17-RXN;RXN-4961	RXN-12263;5.4.99.17-RXN;RXN-4961	RXN-12263	RXN-12263;5.4.99.17-RXN;RXN-4961	RXN-12263
PWY-5022	2/7	1/7	2/7	2/7	1/7	1/7	1/7	1/7	1/7	2/7	2/7	2/7	1/7	1/7	1/7	2/7	1/7	2/7	GLUTAMATE-DEHYDROGENASE-RXN;GABATRANSAM-RXN	GLUTAMATE-DEHYDROGENASE-RXN	GLUTAMATE-DEHYDROGENASE-RXN;GABATRANSAM-RXN	GLUTAMATE-DEHYDROGENASE-RXN;R11-RXN	GLUTAMATE-DEHYDROGENASE-RXN	GLUTAMATE-DEHYDROGENASE-RXN	GLUTAMATE-DEHYDROGENASE-RXN	GLUTAMATE-DEHYDROGENASE-RXN	GLUTAMATE-DEHYDROGENASE-RXN	GLUTAMATE-DEHYDROGENASE-RXN;GABATRANSAM-RXN	GLUTAMATE-DEHYDROGENASE-RXN;GABATRANSAM-RXN	GLUTAMATE-DEHYDROGENASE-RXN;GABATRANSAM-RXN	GLUTAMATE-DEHYDROGENASE-RXN	GLUTAMATE-DEHYDROGENASE-RXN	GLUTAMATE-DEHYDROGENASE-RXN	GLUTAMATE-DEHYDROGENASE-RXN;R11-RXN	GLUTAMATE-DEHYDROGENASE-RXN	GLUTAMATE-DEHYDROGENASE-RXN;GABATRANSAM-RXN
PWY0-1261	2/12	2/12	2/12	3/12	3/12	2/12	2/12	3/12	2/12	2/12	3/12	2/12	3/12	2/12	2/12	2/12	2/12	3/12	NAG1P-URIDYLTRANS-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	NAG1P-URIDYLTRANS-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	NAG1P-URIDYLTRANS-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	RXN0-5226;NAG1P-URIDYLTRANS-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	RXN0-5226;NAG1P-URIDYLTRANS-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	NAG1P-URIDYLTRANS-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	NAG1P-URIDYLTRANS-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	UDPNACETYLMURAMATEDEHYDROG-RXN;NAG1P-URIDYLTRANS-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	NAG1P-URIDYLTRANS-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	NAG1P-URIDYLTRANS-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	RXN0-5226;NAG1P-URIDYLTRANS-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	NAG1P-URIDYLTRANS-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	RXN0-5226;NAG1P-URIDYLTRANS-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	NAG1P-URIDYLTRANS-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	NAG1P-URIDYLTRANS-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	NAG1P-URIDYLTRANS-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	NAG1P-URIDYLTRANS-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	RXN0-5226;NAG1P-URIDYLTRANS-RXN;UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	13/19	16/19	16/19	14/19	16/19	16/19	16/19	16/19	15/19	16/19	14/19	16/19	14/19	16/19	16/19	14/19	16/19	14/19	RXN-5469;2.4.1.141-RXN;2.4.1.83-RXN;RXN-5467;RXN-5468;RXN-5463;RXN-5462;2.4.1.119-RXN;2.7.8.15-RXN;RXN-5464;RXN-5471;2.4.1.117-RXN;2.4.1.142-RXN	RXN-5469;RXN-5472;2.4.1.141-RXN;2.4.1.83-RXN;RXN-5467;RXN-5468;RXN-5470;RXN-5463;RXN-5462;2.4.1.119-RXN;2.7.8.15-RXN;RXN-5464;RXN-5471;2.4.1.117-RXN;RXN-5466;2.4.1.142-RXN	RXN-5469;RXN-5472;2.4.1.141-RXN;2.4.1.83-RXN;RXN-5467;RXN-5468;RXN-5470;RXN-5463;RXN-5462;2.4.1.119-RXN;2.7.8.15-RXN;RXN-5464;RXN-5471;2.4.1.117-RXN;RXN-5466;2.4.1.142-RXN	RXN-5469;2.4.1.141-RXN;2.4.1.83-RXN;RXN-5467;RXN-5468;RXN-5463;RXN-5462;2.4.1.119-RXN;2.7.8.15-RXN;RXN-5464;RXN-5471;2.4.1.117-RXN;RXN-5466;2.4.1.142-RXN	RXN-5469;RXN-5472;2.4.1.141-RXN;2.4.1.83-RXN;RXN-5467;RXN-5468;RXN-5470;RXN-5463;RXN-5462;2.4.1.119-RXN;2.7.8.15-RXN;RXN-5464;RXN-5471;2.4.1.117-RXN;RXN-5466;2.4.1.142-RXN	RXN-5469;RXN-5472;2.4.1.141-RXN;2.4.1.83-RXN;RXN-5467;RXN-5468;RXN-5470;RXN-5463;RXN-5462;2.4.1.119-RXN;2.7.8.15-RXN;RXN-5464;RXN-5471;2.4.1.117-RXN;RXN-5466;2.4.1.142-RXN	RXN-5469;RXN-5472;2.4.1.141-RXN;2.4.1.83-RXN;RXN-5467;RXN-5468;RXN-5470;RXN-5463;RXN-5462;2.4.1.119-RXN;2.7.8.15-RXN;RXN-5464;RXN-5471;2.4.1.117-RXN;RXN-5466;2.4.1.142-RXN	RXN-5469;RXN-5472;2.4.1.141-RXN;2.4.1.83-RXN;RXN-5467;RXN-5468;RXN-5470;RXN-5463;RXN-5462;2.4.1.119-RXN;2.7.8.15-RXN;RXN-5464;RXN-5471;2.4.1.117-RXN;RXN-5466;2.4.1.142-RXN	RXN-5469;RXN-5472;2.4.1.141-RXN;2.4.1.83-RXN;RXN-5467;RXN-5468;RXN-5470;RXN-5463;RXN-5462;2.4.1.119-RXN;2.7.8.15-RXN;RXN-5464;RXN-5471;RXN-5466;2.4.1.142-RXN	RXN-5469;RXN-5472;2.4.1.141-RXN;2.4.1.83-RXN;RXN-5467;RXN-5468;RXN-5470;RXN-5463;RXN-5462;2.4.1.119-RXN;2.7.8.15-RXN;RXN-5464;RXN-5471;2.4.1.117-RXN;RXN-5466;2.4.1.142-RXN	RXN-5469;2.4.1.141-RXN;2.4.1.83-RXN;RXN-5467;RXN-5468;RXN-5463;RXN-5462;2.4.1.119-RXN;2.7.8.15-RXN;RXN-5464;RXN-5471;2.4.1.117-RXN;RXN-5466;2.4.1.142-RXN	RXN-5469;RXN-5472;2.4.1.141-RXN;2.4.1.83-RXN;RXN-5467;RXN-5468;RXN-5470;RXN-5463;RXN-5462;2.4.1.119-RXN;2.7.8.15-RXN;RXN-5464;RXN-5471;2.4.1.117-RXN;RXN-5466;2.4.1.142-RXN	RXN-5472;2.4.1.141-RXN;2.4.1.83-RXN;RXN-5468;RXN-5470;RXN-5463;RXN-5462;2.4.1.119-RXN;2.7.8.15-RXN;RXN-5464;RXN-5471;2.4.1.117-RXN;RXN-5466;2.4.1.142-RXN	RXN-5469;RXN-5472;2.4.1.141-RXN;2.4.1.83-RXN;RXN-5467;RXN-5468;RXN-5470;RXN-5463;RXN-5462;2.4.1.119-RXN;2.7.8.15-RXN;RXN-5464;RXN-5471;2.4.1.117-RXN;RXN-5466;2.4.1.142-RXN	RXN-5469;RXN-5472;2.4.1.141-RXN;2.4.1.83-RXN;RXN-5467;RXN-5468;RXN-5470;RXN-5463;RXN-5462;2.4.1.119-RXN;2.7.8.15-RXN;RXN-5464;RXN-5471;2.4.1.117-RXN;RXN-5466;2.4.1.142-RXN	RXN-5469;2.4.1.141-RXN;2.4.1.83-RXN;RXN-5467;RXN-5468;RXN-5463;RXN-5462;2.4.1.119-RXN;2.7.8.15-RXN;RXN-5464;RXN-5471;2.4.1.117-RXN;RXN-5466;2.4.1.142-RXN	RXN-5469;RXN-5472;2.4.1.141-RXN;2.4.1.83-RXN;RXN-5467;RXN-5468;RXN-5470;RXN-5463;RXN-5462;2.4.1.119-RXN;2.7.8.15-RXN;RXN-5464;RXN-5471;2.4.1.117-RXN;RXN-5466;2.4.1.142-RXN	RXN-5469;2.4.1.141-RXN;2.4.1.83-RXN;RXN-5467;RXN-5468;RXN-5463;RXN-5462;2.4.1.119-RXN;2.7.8.15-RXN;RXN-5464;RXN-5471;2.4.1.117-RXN;RXN-5466;2.4.1.142-RXN
PWY-5133	1/6	1/6	1/6	1/6	1/6	1/6	1/6	1/6	1/6	1/6	1/6	1/6	1/6	1/6	1/6	1/6	1/6	1/6	RXN-18447	RXN-18447	RXN-18447	RXN-18447	RXN-18447	RXN-18447	RXN-18447	RXN-18447	RXN-18447	RXN-18447	RXN-18447	RXN-18447	RXN-18447	RXN-18447	RXN-18447	RXN-18447	RXN-18447	RXN-18447
PWY-6367	1/4	2/4	2/4	2/4	2/4	2/4	2/4	2/4	2/4	2/4	2/4	2/4	2/4	2/4	2/4	2/4	2/4	2/4	RXN-10958	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN	RXN-10958;3.1.4.11-RXN
PWY-6984	2/4	3/4	3/4	2/4	3/4	3/4	3/4	2/4	3/4	3/4	2/4	3/4	3/4	3/4	3/4	2/4	3/4	2/4	RXN-13039;RXN-8654	RXN-13031;RXN-13039;RXN-8654	RXN-13031;RXN-13039;RXN-8654	RXN-13039;RXN-8654	RXN-13031;RXN-13039;RXN-8654	RXN-13031;RXN-13039;RXN-8654	RXN-13031;RXN-13039;RXN-8654	RXN-13039;RXN-8654	RXN-13031;RXN-13039;RXN-8654	RXN-13031;RXN-13039;RXN-8654	RXN-13039;RXN-8654	RXN-13031;RXN-13039;RXN-8654	RXN-13031;RXN-13039;RXN-8654	RXN-13031;RXN-13039;RXN-8654	RXN-13031;RXN-13039;RXN-8654	RXN-13039;RXN-8654	RXN-13031;RXN-13039;RXN-8654	RXN-13039;RXN-8654
PWY-4981	1/2	1/2	1/2	1/2	1/2	1/2		1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	ORNITHINE-CYCLODEAMINASE-RXN	ORNITHINE-CYCLODEAMINASE-RXN	ORNITHINE-CYCLODEAMINASE-RXN	ORNITHINE-CYCLODEAMINASE-RXN	ORNITHINE-CYCLODEAMINASE-RXN	ORNITHINE-CYCLODEAMINASE-RXN		ORNITHINE-CYCLODEAMINASE-RXN	ORNITHINE-CYCLODEAMINASE-RXN	ORNITHINE-CYCLODEAMINASE-RXN	ORNITHINE-CYCLODEAMINASE-RXN	ORNITHINE-CYCLODEAMINASE-RXN	ORNITHINE-CYCLODEAMINASE-RXN	ORNITHINE-CYCLODEAMINASE-RXN	ORNITHINE-CYCLODEAMINASE-RXN	ORNITHINE-CYCLODEAMINASE-RXN	ORNITHINE-CYCLODEAMINASE-RXN	ORNITHINE-CYCLODEAMINASE-RXN
14DICHLORBENZDEG-PWY	3/9	1/9	1/9		1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9	1/9		1/9	1/9	RXN-18362;MALEYLACETATE-REDUCTASE-RXN;CHLOROMALERED-RXN	DIENELACHYDRO-RXN	DIENELACHYDRO-RXN		DIENELACHYDRO-RXN	DIENELACHYDRO-RXN	DIENELACHYDRO-RXN	DIENELACHYDRO-RXN	DIENELACHYDRO-RXN	DIENELACHYDRO-RXN	DIENELACHYDRO-RXN	DIENELACHYDRO-RXN	DIENELACHYDRO-RXN	DIENELACHYDRO-RXN	DIENELACHYDRO-RXN		DIENELACHYDRO-RXN	DIENELACHYDRO-RXN
PWY-7574	2/5	2/5	2/5	2/5	2/5	2/5	2/5	2/5	2/5	2/5	2/5	2/5	2/5	2/5	2/5	2/5	1/5	2/5	RXN-6384;RXN-2902	RXN-6384;RXN-2902	RXN-6384;RXN-2902	RXN-6384;RXN-2902	RXN-6384;RXN-2902	RXN-6384;RXN-2902	RXN-6384;RXN-2902	RXN-6384;RXN-2902	RXN-6384;RXN-2902	RXN-6384;RXN-2902	RXN-6384;RXN-2902	RXN-6384;RXN-2902	RXN-6384;RXN-2902	RXN-6384;RXN-2902	RXN-6384;RXN-2902	RXN-6384;RXN-2902	RXN-2902	RXN-6384;RXN-2902
HOMOSER-THRESYN-PWY	2/2	2/2	2/2	2/2	2/2	2/2	2/2	1/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	2/2	HOMOSERKIN-RXN;THRESYN-RXN	HOMOSERKIN-RXN;THRESYN-RXN	HOMOSERKIN-RXN;THRESYN-RXN	HOMOSERKIN-RXN;THRESYN-RXN	HOMOSERKIN-RXN;THRESYN-RXN	HOMOSERKIN-RXN;THRESYN-RXN	HOMOSERKIN-RXN;THRESYN-RXN	HOMOSERKIN-RXN	HOMOSERKIN-RXN;THRESYN-RXN	HOMOSERKIN-RXN;THRESYN-RXN	HOMOSERKIN-RXN;THRESYN-RXN	HOMOSERKIN-RXN;THRESYN-RXN	HOMOSERKIN-RXN;THRESYN-RXN	HOMOSERKIN-RXN;THRESYN-RXN	HOMOSERKIN-RXN;THRESYN-RXN	HOMOSERKIN-RXN;THRESYN-RXN	HOMOSERKIN-RXN;THRESYN-RXN	HOMOSERKIN-RXN;THRESYN-RXN
PWY-5147	1/3			1/3							1/3					1/3		1/3	RXN-7903			RXN-7903							RXN-7903					RXN-7903		RXN-7903
PWY-6619	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	1/1	ADENOSINE-KINASE-RXN	ADENOSINE-KINASE-RXN	ADENOSINE-KINASE-RXN	ADENOSINE-KINASE-RXN	ADENOSINE-KINASE-RXN	ADENOSINE-KINASE-RXN	ADENOSINE-KINASE-RXN	ADENOSINE-KINASE-RXN	ADENOSINE-KINASE-RXN	ADENOSINE-KINASE-RXN	ADENOSINE-KINASE-RXN	ADENOSINE-KINASE-RXN	ADENOSINE-KINASE-RXN	ADENOSINE-KINASE-RXN	ADENOSINE-KINASE-RXN	ADENOSINE-KINASE-RXN	ADENOSINE-KINASE-RXN	ADENOSINE-KINASE-RXN
PWY-5872	6/9	6/9	6/9	6/9	6/9	6/9	6/9	4/9	6/9	6/9	6/9	6/9	6/9	6/9	6/9	6/9	6/9	6/9	RXN-9279;RXN-9106;RXN-9230;RXN-9282;RXN-9237;RXN-9235	RXN-9279;RXN-9106;RXN-9230;RXN-9282;RXN-9237;RXN-9235	RXN-9279;RXN-9106;RXN-9230;RXN-9282;RXN-9237;RXN-9235	RXN-9279;RXN-9106;RXN-9230;RXN-9282;RXN-9237;RXN-9235	RXN-9279;RXN-9106;RXN-9230;RXN-9282;RXN-9237;RXN-9235	RXN-9279;RXN-9106;RXN-9230;RXN-9282;RXN-9237;RXN-9235	RXN-9279;RXN-9106;RXN-9230;RXN-9282;RXN-9237;RXN-9235	RXN-9106;RXN-9230;RXN-9235;RXN-9279	RXN-9279;RXN-9106;RXN-9230;RXN-9282;RXN-9237;RXN-9235	RXN-9279;RXN-9106;RXN-9230;RXN-9282;RXN-9237;RXN-9235	RXN-9279;RXN-9106;RXN-9230;RXN-9282;RXN-9237;RXN-9235	RXN-9279;RXN-9106;RXN-9230;RXN-9282;RXN-9237;RXN-9235	RXN-9279;RXN-9106;RXN-9230;RXN-9282;RXN-9237;RXN-9235	RXN-9279;RXN-9106;RXN-9230;RXN-9282;RXN-9237;RXN-9235	RXN-9279;RXN-9106;RXN-9230;RXN-9282;RXN-9237;RXN-9235	RXN-9279;RXN-9106;RXN-9230;RXN-9282;RXN-9237;RXN-9235	RXN-9279;RXN-9106;RXN-9230;RXN-9282;RXN-9237;RXN-9235	RXN-9279;RXN-9106;RXN-9230;RXN-9282;RXN-9237;RXN-9235
